,Simulation Number,CPMU20.photonEnergy,PG.lineDensity,PG.cFactor,ExitSlit.totalHeight,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,500,1200,2.25,0.05,2,50000,,2182.0,4.364,,0.03450336313403568,0.01918795163002944,0.01872170800618088
1,1,500,1200,2.25,0.01,2,50000,,369.0,0.738,,0.019232308824825847,0.011993656930794083,0.003628741494635588
2,2,1000,1200,2.25,0.05,2,50000,,2943.0,5.886,,0.08394329731845573,0.017800118860764425,0.01866217182192896
3,3,1000,1200,2.25,0.01,2,50000,,563.0,1.126,,0.04681505398320951,0.019767862795013923,0.00385023304935248
4,4,1500,1200,2.25,0.05,2,50000,,3762.0,7.524,,0.17159181301167337,0.017345605897303894,0.0179323303334211
5,5,1500,1200,2.25,0.01,2,50000,,730.0,1.46,,0.04114958842160377,0.024259497788431755,0.003850347264432293
6,6,2000,1200,2.25,0.05,2,50000,,4163.0,8.326,,0.24099391254821967,0.017655954339002265,0.01849051228151032
7,7,2000,1200,2.25,0.01,2,50000,,839.0,1.678,,0.10872229708797931,0.018992142195295506,0.003321117739181868
8,8,2500,1200,2.25,0.05,2,50000,,4419.0,8.838,,0.3504719852198832,0.01837295350457898,0.01853014669836304
9,9,2500,1200,2.25,0.01,2,50000,,887.0,1.7739999999999996,,0.17226345520339237,0.013676582930461288,0.0032627834673774514
10,10,3000,1200,2.25,0.05,2,50000,,4423.0,8.846,,0.4689717078431386,0.017923968481710455,0.01896614690944072
11,11,3000,1200,2.25,0.01,2,50000,,904.0,1.808,,0.1791582817568269,0.02036745893234816,0.003498786934809012
12,12,3500,1200,2.25,0.05,2,50000,,3872.0,7.743999999999998,,0.6018636662406607,0.016406019402373184,0.017770954793915453
13,13,3500,1200,2.25,0.01,2,50000,,744.0,1.488,,0.22406911675489027,0.02100261153561168,0.0031002049320859805
14,14,4000,1200,2.25,0.05,2,50000,,2744.0,5.488,,0.6975012710900046,0.018814362678514107,0.0186431522928776
15,15,4000,1200,2.25,0.01,2,50000,,540.0,1.08,,0.3477143492127652,0.021073953023668855,0.0032545243704858967
16,16,4500,1200,2.25,0.05,2,50000,,1368.0,2.736,,0.7867244016561018,0.01759327467034302,0.018545295898456583
17,17,4500,1200,2.25,0.01,2,50000,,293.0,0.586,,0.2869746437718277,0.012906526342460369,0.002446903065228337
18,18,5000,1200,2.25,0.05,2,50000,,533.0,1.0659999999999998,,1.0699529811827233,0.018366680667146168,0.017252646228431916
19,19,5000,1200,2.25,0.01,2,50000,,123.0,0.246,,0.14041745979102416,0.024705718564460428,0.0027312379882074088
