Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays
0,0.05,50,2.25,1,500000.0
1,0.05,60,2.25,1,500000.0
2,0.05,70,2.25,1,500000.0
3,0.05,80,2.25,1,500000.0
4,0.05,90,2.25,1,500000.0
5,0.05,100,2.25,1,500000.0
6,0.05,110,2.25,1,500000.0
7,0.05,120,2.25,1,500000.0
8,0.05,130,2.25,1,500000.0
9,0.05,140,2.25,1,500000.0
10,0.05,150,2.25,1,500000.0
11,0.05,160,2.25,1,500000.0
12,0.05,170,2.25,1,500000.0
13,0.05,180,2.25,1,500000.0
14,0.05,190,2.25,1,500000.0
15,0.05,200,2.25,1,500000.0
16,0.05,210,2.25,1,500000.0
17,0.05,220,2.25,1,500000.0
18,0.05,230,2.25,1,500000.0
19,0.05,240,2.25,1,500000.0
20,0.05,250,2.25,1,500000.0
21,0.05,260,2.25,1,500000.0
22,0.05,270,2.25,1,500000.0
23,0.05,280,2.25,1,500000.0
24,0.05,290,2.25,1,500000.0
25,0.05,300,2.25,1,500000.0
26,0.05,310,2.25,1,500000.0
27,0.05,320,2.25,1,500000.0
28,0.05,330,2.25,1,500000.0
29,0.05,340,2.25,1,500000.0
30,0.05,350,2.25,1,500000.0
31,0.05,360,2.25,1,500000.0
32,0.05,370,2.25,1,500000.0
33,0.05,380,2.25,1,500000.0
34,0.05,390,2.25,1,500000.0
35,0.05,400,2.25,1,500000.0
36,0.05,410,2.25,1,500000.0
37,0.05,420,2.25,1,500000.0
38,0.05,430,2.25,1,500000.0
39,0.05,440,2.25,1,500000.0
40,0.05,450,2.25,1,500000.0
41,0.05,460,2.25,1,500000.0
42,0.05,470,2.25,1,500000.0
43,0.05,480,2.25,1,500000.0
44,0.05,490,2.25,1,500000.0
45,0.05,500,2.25,1,500000.0
46,0.05,510,2.25,1,500000.0
47,0.05,520,2.25,1,500000.0
48,0.05,530,2.25,1,500000.0
49,0.05,540,2.25,1,500000.0
50,0.05,550,2.25,1,500000.0
51,0.05,560,2.25,1,500000.0
52,0.05,570,2.25,1,500000.0
53,0.05,580,2.25,1,500000.0
54,0.05,590,2.25,1,500000.0
55,0.05,600,2.25,1,500000.0
56,0.05,610,2.25,1,500000.0
57,0.05,620,2.25,1,500000.0
58,0.05,630,2.25,1,500000.0
59,0.05,640,2.25,1,500000.0
60,0.05,650,2.25,1,500000.0
61,0.05,660,2.25,1,500000.0
62,0.05,670,2.25,1,500000.0
63,0.05,680,2.25,1,500000.0
64,0.05,690,2.25,1,500000.0
65,0.05,700,2.25,1,500000.0
66,0.05,710,2.25,1,500000.0
67,0.05,720,2.25,1,500000.0
68,0.05,730,2.25,1,500000.0
69,0.05,740,2.25,1,500000.0
70,0.05,750,2.25,1,500000.0
71,0.05,760,2.25,1,500000.0
72,0.05,770,2.25,1,500000.0
73,0.05,780,2.25,1,500000.0
74,0.05,790,2.25,1,500000.0
75,0.05,800,2.25,1,500000.0
76,0.05,810,2.25,1,500000.0
77,0.05,820,2.25,1,500000.0
78,0.05,830,2.25,1,500000.0
79,0.05,840,2.25,1,500000.0
80,0.05,850,2.25,1,500000.0
81,0.05,860,2.25,1,500000.0
82,0.05,870,2.25,1,500000.0
83,0.05,880,2.25,1,500000.0
84,0.05,890,2.25,1,500000.0
85,0.05,900,2.25,1,500000.0
86,0.05,910,2.25,1,500000.0
87,0.05,920,2.25,1,500000.0
88,0.05,930,2.25,1,500000.0
89,0.05,940,2.25,1,500000.0
90,0.05,950,2.25,1,500000.0
91,0.05,960,2.25,1,500000.0
92,0.05,970,2.25,1,500000.0
93,0.05,980,2.25,1,500000.0
94,0.05,990,2.25,1,500000.0
95,0.05,1000,2.25,1,500000.0
96,0.05,1010,2.25,1,500000.0
97,0.05,1020,2.25,1,500000.0
98,0.05,1030,2.25,1,500000.0
99,0.05,1040,2.25,1,500000.0
100,0.05,1050,2.25,1,500000.0
101,0.05,1060,2.25,1,500000.0
102,0.05,1070,2.25,1,500000.0
103,0.05,1080,2.25,1,500000.0
104,0.05,1090,2.25,1,500000.0
105,0.05,1100,2.25,1,500000.0
106,0.05,1110,2.25,1,500000.0
107,0.05,1120,2.25,1,500000.0
108,0.05,1130,2.25,1,500000.0
109,0.05,1140,2.25,1,500000.0
110,0.05,1150,2.25,1,500000.0
111,0.05,1160,2.25,1,500000.0
112,0.05,1170,2.25,1,500000.0
113,0.05,1180,2.25,1,500000.0
114,0.05,1190,2.25,1,500000.0
115,0.05,1200,2.25,1,500000.0
116,0.05,1210,2.25,1,500000.0
117,0.05,1220,2.25,1,500000.0
118,0.05,1230,2.25,1,500000.0
119,0.05,1240,2.25,1,500000.0
120,0.05,1250,2.25,1,500000.0
121,0.05,1260,2.25,1,500000.0
122,0.05,1270,2.25,1,500000.0
123,0.05,1280,2.25,1,500000.0
124,0.05,1290,2.25,1,500000.0
125,0.05,1300,2.25,1,500000.0
126,0.05,1310,2.25,1,500000.0
127,0.05,1320,2.25,1,500000.0
128,0.05,1330,2.25,1,500000.0
129,0.05,1340,2.25,1,500000.0
130,0.05,1350,2.25,1,500000.0
131,0.05,1360,2.25,1,500000.0
132,0.05,1370,2.25,1,500000.0
133,0.05,1380,2.25,1,500000.0
134,0.05,1390,2.25,1,500000.0
135,0.05,1400,2.25,1,500000.0
136,0.05,1410,2.25,1,500000.0
137,0.05,1420,2.25,1,500000.0
138,0.05,1430,2.25,1,500000.0
139,0.05,1440,2.25,1,500000.0
140,0.05,1450,2.25,1,500000.0
141,0.05,1460,2.25,1,500000.0
142,0.05,1470,2.25,1,500000.0
143,0.05,1480,2.25,1,500000.0
144,0.05,1490,2.25,1,500000.0
145,0.05,1500,2.25,1,500000.0
146,0.05,1510,2.25,1,500000.0
147,0.05,1520,2.25,1,500000.0
148,0.05,1530,2.25,1,500000.0
149,0.05,1540,2.25,1,500000.0
150,0.05,1550,2.25,1,500000.0
151,0.05,1560,2.25,1,500000.0
152,0.05,1570,2.25,1,500000.0
153,0.05,1580,2.25,1,500000.0
154,0.05,1590,2.25,1,500000.0
155,0.05,1600,2.25,1,500000.0
156,0.05,1610,2.25,1,500000.0
157,0.05,1620,2.25,1,500000.0
158,0.05,1630,2.25,1,500000.0
159,0.05,1640,2.25,1,500000.0
160,0.05,1650,2.25,1,500000.0
161,0.05,1660,2.25,1,500000.0
162,0.05,1670,2.25,1,500000.0
163,0.05,1680,2.25,1,500000.0
164,0.05,1690,2.25,1,500000.0
165,0.05,1700,2.25,1,500000.0
166,0.05,1710,2.25,1,500000.0
167,0.05,1720,2.25,1,500000.0
168,0.05,1730,2.25,1,500000.0
169,0.05,1740,2.25,1,500000.0
170,0.05,1750,2.25,1,500000.0
171,0.05,1760,2.25,1,500000.0
172,0.05,1770,2.25,1,500000.0
173,0.05,1780,2.25,1,500000.0
174,0.05,1790,2.25,1,500000.0
175,0.05,1800,2.25,1,500000.0
176,0.05,1810,2.25,1,500000.0
177,0.05,1820,2.25,1,500000.0
178,0.05,1830,2.25,1,500000.0
179,0.05,1840,2.25,1,500000.0
180,0.05,1850,2.25,1,500000.0
181,0.05,1860,2.25,1,500000.0
182,0.05,1870,2.25,1,500000.0
183,0.05,1880,2.25,1,500000.0
184,0.05,1890,2.25,1,500000.0
185,0.05,1900,2.25,1,500000.0
186,0.05,1910,2.25,1,500000.0
187,0.05,1920,2.25,1,500000.0
188,0.05,1930,2.25,1,500000.0
189,0.05,1940,2.25,1,500000.0
190,0.05,1950,2.25,1,500000.0
191,0.05,1960,2.25,1,500000.0
192,0.05,1970,2.25,1,500000.0
193,0.05,1980,2.25,1,500000.0
194,0.05,1990,2.25,1,500000.0
195,0.05,2000,2.25,1,500000.0
196,0.05,2010,2.25,1,500000.0
197,0.05,2020,2.25,1,500000.0
198,0.05,2030,2.25,1,500000.0
199,0.05,2040,2.25,1,500000.0
200,0.05,2050,2.25,1,500000.0
201,0.05,2060,2.25,1,500000.0
202,0.05,2070,2.25,1,500000.0
203,0.05,2080,2.25,1,500000.0
204,0.05,2090,2.25,1,500000.0
205,0.05,2100,2.25,1,500000.0
206,0.05,2110,2.25,1,500000.0
207,0.05,2120,2.25,1,500000.0
208,0.05,2130,2.25,1,500000.0
209,0.05,2140,2.25,1,500000.0
210,0.05,2150,2.25,1,500000.0
211,0.05,2160,2.25,1,500000.0
212,0.05,2170,2.25,1,500000.0
213,0.05,2180,2.25,1,500000.0
214,0.05,2190,2.25,1,500000.0
215,0.05,2200,2.25,1,500000.0
216,0.05,2210,2.25,1,500000.0
217,0.05,2220,2.25,1,500000.0
218,0.05,2230,2.25,1,500000.0
219,0.05,2240,2.25,1,500000.0
220,0.05,2250,2.25,1,500000.0
221,0.05,2260,2.25,1,500000.0
222,0.05,2270,2.25,1,500000.0
223,0.05,2280,2.25,1,500000.0
224,0.05,2290,2.25,1,500000.0
225,0.05,2300,2.25,1,500000.0
226,0.05,2310,2.25,1,500000.0
227,0.05,2320,2.25,1,500000.0
228,0.05,2330,2.25,1,500000.0
229,0.05,2340,2.25,1,500000.0
230,0.05,2350,2.25,1,500000.0
231,0.05,2360,2.25,1,500000.0
232,0.05,2370,2.25,1,500000.0
233,0.05,2380,2.25,1,500000.0
234,0.05,2390,2.25,1,500000.0
235,0.05,2400,2.25,1,500000.0
236,0.05,2410,2.25,1,500000.0
237,0.05,2420,2.25,1,500000.0
238,0.05,2430,2.25,1,500000.0
239,0.05,2440,2.25,1,500000.0
240,0.05,2450,2.25,1,500000.0
241,0.05,2460,2.25,1,500000.0
242,0.05,2470,2.25,1,500000.0
243,0.05,2480,2.25,1,500000.0
244,0.05,2490,2.25,1,500000.0
245,0.05,2500,2.25,1,500000.0
246,0.05,2510,2.25,1,500000.0
247,0.05,2520,2.25,1,500000.0
248,0.05,2530,2.25,1,500000.0
249,0.05,2540,2.25,1,500000.0
250,0.05,2550,2.25,1,500000.0
